epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5717,1.19547,2.28556,2.12414,0.50782,0.49425,0.43884,0.32866,1.09704,2.31942,2.09156,0.000659722,0.000659722,0.000659722
2,93.1516,1.13636,1.37747,2.06399,0.6806,0.6092,0.65211,0.42485,1.10942,1.86999,2.16935,0.00132114,0.00132114,0.00132114
3,138.439,1.13294,1.20486,2.05939,0.50004,0.71264,0.50266,0.26803,1.14858,3.12012,2.18936,0.00197727,0.00197727,0.00197727
4,183.952,1.10849,1.10533,2.06681,0.55353,0.73563,0.68377,0.45026,1.15825,1.29451,2.27727,0.00197624,0.00197624,0.00197624
5,229.777,1.15696,1.03974,2.12107,0.72819,0.67746,0.74353,0.48035,1.18939,1.15274,2.27864,0.00196832,0.00196832,0.00196832
6,276.455,1.14392,0.98016,2.06907,0.733,0.64368,0.72918,0.44185,1.1571,1.21423,2.32667,0.0019604,0.0019604,0.0019604
7,323.458,1.11354,0.93568,2.13286,0.55321,0.68315,0.65685,0.41364,1.25869,1.51641,2.40901,0.00195248,0.00195248,0.00195248
8,370.722,1.07466,0.87303,2.02954,0.62547,0.78705,0.73467,0.4925,1.08881,1.23844,2.18645,0.00194456,0.00194456,0.00194456
9,416.98,1.04531,0.83365,2.03062,0.73115,0.72414,0.74738,0.50033,1.10827,1.09006,2.28933,0.00193664,0.00193664,0.00193664
10,463.699,1.0522,0.82268,2.02962,0.64162,0.72414,0.65944,0.45337,1.18252,1.1496,2.17387,0.00192872,0.00192872,0.00192872
11,511.112,1.00208,0.80747,1.96713,0.70096,0.70052,0.72141,0.49607,1.08469,1.2386,2.07777,0.0019208,0.0019208,0.0019208
12,558.217,1.02751,0.78395,2.0621,0.63538,0.77011,0.7345,0.49295,1.12952,1.12439,2.27808,0.00191288,0.00191288,0.00191288
13,604.728,1.01992,0.79732,1.99555,0.64781,0.78161,0.74445,0.47443,1.11589,1.19336,2.22558,0.00190496,0.00190496,0.00190496
14,651.166,0.97247,0.74678,1.8747,0.685,0.72414,0.71897,0.46844,1.17759,1.05364,2.22312,0.00189704,0.00189704,0.00189704
15,697.711,1.00439,0.78077,2.0062,0.7429,0.65517,0.75139,0.53251,1.11132,1.13373,2.27865,0.00188912,0.00188912,0.00188912
16,744.258,0.96135,0.78391,1.98701,0.62933,0.73563,0.73156,0.49152,1.14371,1.31433,2.20576,0.0018812,0.0018812,0.0018812
17,790.666,0.95744,0.72883,1.89811,0.6749,0.692,0.71616,0.50915,1.04662,1.19833,2.11495,0.00187328,0.00187328,0.00187328
